timestamp,plant_name,plant_type,capacity_mw,generation_mw,lat,lon,region
2024-04-17T23:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-18T00:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-18T01:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-18T02:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-18T03:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-18T04:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-18T05:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-18T06:00:00,Pavagada Solar Park,solar,200,1.88,14.1,77.28,Tumkur
2024-04-18T07:00:00,Pavagada Solar Park,solar,200,2.19,14.1,77.28,Tumkur
2024-04-18T08:00:00,Pavagada Solar Park,solar,200,19.19,14.1,77.28,Tumkur
2024-04-18T09:00:00,Pavagada Solar Park,solar,200,50.89,14.1,77.28,Tumkur
2024-04-18T10:00:00,Pavagada Solar Park,solar,200,72.67,14.1,77.28,Tumkur
2024-04-18T11:00:00,Pavagada Solar Park,solar,200,116.02,14.1,77.28,Tumkur
2024-04-18T12:00:00,Pavagada Solar Park,solar,200,122.32,14.1,77.28,Tumkur
2024-04-18T13:00:00,Pavagada Solar Park,solar,200,130.75,14.1,77.28,Tumkur
2024-04-18T14:00:00,Pavagada Solar Park,solar,200,79.0,14.1,77.28,Tumkur
2024-04-18T15:00:00,Pavagada Solar Park,solar,200,62.47,14.1,77.28,Tumkur
2024-04-18T16:00:00,Pavagada Solar Park,solar,200,49.89,14.1,77.28,Tumkur
2024-04-18T17:00:00,Pavagada Solar Park,solar,200,19.45,14.1,77.28,Tumkur
2024-04-18T18:00:00,Pavagada Solar Park,solar,200,2.15,14.1,77.28,Tumkur
2024-04-18T19:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-18T20:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-18T21:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-18T22:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-18T23:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-19T00:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-19T01:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-19T02:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-19T03:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-19T04:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-19T05:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-19T06:00:00,Pavagada Solar Park,solar,200,2.18,14.1,77.28,Tumkur
2024-04-19T07:00:00,Pavagada Solar Park,solar,200,2.22,14.1,77.28,Tumkur
2024-04-19T08:00:00,Pavagada Solar Park,solar,200,18.3,14.1,77.28,Tumkur
2024-04-19T09:00:00,Pavagada Solar Park,solar,200,42.28,14.1,77.28,Tumkur
2024-04-19T10:00:00,Pavagada Solar Park,solar,200,67.56,14.1,77.28,Tumkur
2024-04-19T11:00:00,Pavagada Solar Park,solar,200,110.23,14.1,77.28,Tumkur
2024-04-19T12:00:00,Pavagada Solar Park,solar,200,125.96,14.1,77.28,Tumkur
2024-04-19T13:00:00,Pavagada Solar Park,solar,200,124.86,14.1,77.28,Tumkur
2024-04-19T14:00:00,Pavagada Solar Park,solar,200,70.91,14.1,77.28,Tumkur
2024-04-19T15:00:00,Pavagada Solar Park,solar,200,76.33,14.1,77.28,Tumkur
2024-04-19T16:00:00,Pavagada Solar Park,solar,200,41.14,14.1,77.28,Tumkur
2024-04-19T17:00:00,Pavagada Solar Park,solar,200,19.79,14.1,77.28,Tumkur
2024-04-19T18:00:00,Pavagada Solar Park,solar,200,2.03,14.1,77.28,Tumkur
2024-04-19T19:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-19T20:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-19T21:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-19T22:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-19T23:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-20T00:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-20T01:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-20T02:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-20T03:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-20T04:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-20T05:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-20T06:00:00,Pavagada Solar Park,solar,200,2.01,14.1,77.28,Tumkur
2024-04-20T07:00:00,Pavagada Solar Park,solar,200,2.24,14.1,77.28,Tumkur
2024-04-20T08:00:00,Pavagada Solar Park,solar,200,17.89,14.1,77.28,Tumkur
2024-04-20T09:00:00,Pavagada Solar Park,solar,200,44.73,14.1,77.28,Tumkur
2024-04-20T10:00:00,Pavagada Solar Park,solar,200,82.18,14.1,77.28,Tumkur
2024-04-20T11:00:00,Pavagada Solar Park,solar,200,130.24,14.1,77.28,Tumkur
2024-04-20T12:00:00,Pavagada Solar Park,solar,200,123.73,14.1,77.28,Tumkur
2024-04-20T13:00:00,Pavagada Solar Park,solar,200,124.33,14.1,77.28,Tumkur
2024-04-20T14:00:00,Pavagada Solar Park,solar,200,96.5,14.1,77.28,Tumkur
2024-04-20T15:00:00,Pavagada Solar Park,solar,200,73.96,14.1,77.28,Tumkur
2024-04-20T16:00:00,Pavagada Solar Park,solar,200,36.48,14.1,77.28,Tumkur
2024-04-20T17:00:00,Pavagada Solar Park,solar,200,12.23,14.1,77.28,Tumkur
2024-04-20T18:00:00,Pavagada Solar Park,solar,200,2.12,14.1,77.28,Tumkur
2024-04-20T19:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-20T20:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-20T21:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-20T22:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-20T23:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-21T00:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-21T01:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-21T02:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-21T03:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-21T04:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-21T05:00:00,Pavagada Solar Park,solar,200,0.0,14.1,77.28,Tumkur
2024-04-21T06:00:00,Pavagada Solar Park,solar,200,1.49,14.1,77.28,Tumkur
2024-04-21T07:00:00,Pavagada Solar Park,solar,200,2.32,14.1,77.28,Tumkur
2024-04-21T08:00:00,Pavagada Solar Park,solar,200,16.36,14.1,77.28,Tumkur
2024-04-21T09:00:00,Pavagada Solar Park,solar,200,42.25,14.1,77.28,Tumkur
2024-04-21T10:00:00,Pavagada Solar Park,solar,200,92.57,14.1,77.28,Tumkur
2024-04-21T11:00:00,Pavagada Solar Park,solar,200,92.18,14.1,77.28,Tumkur
2024-04-21T12:00:00,Pavagada Solar Park,solar,200,112.11,14.1,77.28,Tumkur
